Name,Total,Price,Maturity,Rate,Payment_Date,Place,Institution,Payment_Method,Issuing_Method,Type,Year,Payment_Interval,isGov,Real_Interest,Inflation,Duration
2000年财政部记账式(一期)国债,200.0,100.0,7.0,2.9,2.24,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,2.9,0.4,6.435192194520339
2000年财政部记账式(二期)国债,280.0,100.0,10.0,2.8,4.18,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,2.8,0.4,8.859236075589871
2000年记帐式(三期)国债,200.0,100.0,2.0,2.44,5.18,银行间,财政部,一次还本息,荷兰式招标,固定单利,2000,2.0,1,2.4109369159368566,0.4,2.0
2000年记帐式(四期)国债,140.0,100.0,10.0,2.87,5.23,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,2.87,0.4,8.833525208864321
2000年财政部记账式(五期)国债,200.0,100.0,5.0,3.0,6.21,银行间,财政部,年付,荷兰式招标,固定,2000,1.0,1,3.0,0.4,4.71709840281037
2000年财政部记账式(六期)国债,125.5,100.0,7.0,3.5,8.17,银行间,财政部,年付,荷兰式招标,固定,2000,1.0,1,3.5,0.4,6.3285530197785045
2000年财政部记账式(七期)国债,200.0,100.0,10.0,4.61,9.21,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,4.61,0.4,8.232907449036396
2000年财政部记账式(八期)国债,102.0,100.0,5.0,3.4,10.2,银行间,财政部,年付,荷兰式招标,固定,2000,1.0,1,3.4,0.4,4.68181555532679
2000年财政部记账式(九期)国债,500.0,100.0,10.0,3.9,10.31,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,3.9,0.4,8.469329548801914
2000年记帐式(十期)国债,120.0,100.0,7.0,2.9,11.14,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,2.9,0.4,6.435192194520339
2000年记账式(十一)期国债,200.0,100.0,1.0,2.35,11.24,银行间,财政部,一次还本息,荷兰式招标,固定单利,2000,1.0,1,2.35,0.4,1.0
2000年财政部记账式(十二期)国债,252.0,100.0,7.0,3.12,12.2,银行间,财政部,年付,荷兰式招标,浮动,2000,1.0,1,3.12,0.4,6.395711680558544
2001年财政部记账式(一期)国债,200.0,100.0,10.0,2.82,3.23,银行间,财政部,年付,荷兰式招标,浮动,2001,1.0,1,2.82,0.7,8.851877260088937
2001年财政部记账式(二期)国债,200.0,100.0,3.0,2.88,4.2,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,2.88,0.7,2.91680231419111
2001年记帐式(三期)国债,120.0,100.0,7.0,3.27,4.24,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,3.27,0.7,6.369046329209945
2001年记账式（五期）国债,270.0,98.66,7.0,3.71,6.22,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,3.71,0.7,6.377449507691752
2001年记帐式(七期)国债,240.0,100.0,20.0,4.26,7.31,银行间,财政部,半年付,荷兰式招标,固定,2001,0.5,1,4.3053690000000255,0.7,13.709584110076355
2001年财政部记账式(八期)国债,200.0,100.0,2.0,2.46,8.6,银行间,财政部　,年付,荷兰式招标,固定,2001,1.0,0,2.46,0.7,1.975990630489947
2001年财政部记账式(九期)国债,200.0,100.0,10.0,4.66,8.31,银行间,财政部,年付,荷兰式招标,浮动,2001,1.0,1,4.66,0.7,8.216685439920655
2001年记帐式(十一期)国债,160.0,100.0,20.0,3.85,10.23,银行间,财政部,半年付,荷兰式招标,固定,2001,0.5,1,3.8870562499999872,0.7,14.172360378855442
2001年记帐式(十二期)国债,200.0,100.0,10.0,3.05,10.3,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,3.05,0.7,8.767986146851356
2001年财政部记账式(十三期)国债,200.0,100.0,5.0,2.86,11.27,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,2.86,0.7,4.729576345157152
2001年财政部记账式(十四期)国债,200.0,100.0,7.0,2.9,12.1,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,2.9,0.7,6.435192194520339
2001年记帐式(十五期)国债,200.0,100.0,7.0,3.0,12.18,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,3.0,0.7,6.4171914438781865
2001年记帐式(十六期)国债,200.0,100.0,5.0,3.36,7.13,银行间,财政部,年付,荷兰式招标,固定,2001,1.0,1,3.36,0.7,4.685319485621394
2002年记账式(一期)国债,200.0,100.0,10.0,2.7,3.18,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.7,-0.8,8.896185154772457
2002年记账式(二期)国债,360.0,100.0,5.0,2.22,4.1,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.22,-0.8,4.787487026226154
2002年记帐式(三期)国债,200.0,100.0,10.0,2.54,4.18,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.54,-0.8,8.955845388884958
2002年记帐式(四期)国债,260.0,100.0,2.0,1.9,5.1,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,1.9,-0.8,1.98135426889107
2002年记帐式(五期)国债,260.0,100.0,30.0,2.9,5.24,银行间,财政部,半年付,荷兰式招标,固定,2002,0.5,1,2.9210249999999993,-0.8,20.28984142213236
2002年记帐式（六期）国债,460.0,100.0,7.0,2.0,6.6,银行间,财政部,年付,,固定,2002,1.0,1,2.0,-0.8,6.601430890690397
2002年记帐式(七期)国债,260.0,100.0,2.0,1.9,6.2,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,1.9,-0.8,1.98135426889107
2002年记帐式(八期)国债,265.0,98.13,1.0,0.0,7.12,银行间,财政部,贴现,荷兰式招标,贴现,2002,1.0,1,1.9056353816366167,-0.8,1.0
2009年记账式贴现（九期）国债,200.0,99.35,0.75,0.0,6.8,沪市,财政部,贴现,多种价格（混合式）招标,贴现,2009,0.75,1,0.8732866915117876,-0.7,0.75
2002年记帐式(十期)国债,200.0,100.0,7.0,2.39,8.16,银行间,财政部,年付,荷兰式招标,固定,2002,1.0,1,2.39,-0.8,6.528446380337607
2009年记账式贴现（十一期）国债,150.0,99.58,0.5,0.0,6.22,沪市,财政部,贴现,美国式招标,贴现,2009,0.5,1,0.8453217915728173,-0.7,0.5
