Name,Total,Ticket_Value,Price,Maturity,Rate,Payment_Date,Place,Institution,Payment_Method,Issuing_Method,Type
2000年财政部记账式(一期)国债,200.0000,100.00,100.00,7,2.9,2.24,银行间,财政部,年付,荷兰式招标,浮动
2000年财政部记账式(二期)国债,280.0000,100.00,100.00,10,2.8,4.18,银行间,财政部,年付,荷兰式招标,浮动
2000年记帐式(三期)国债,200.0000,100.00,100.00,2,2.44,5.18,银行间,财政部,一次还本息,荷兰式招标,固定单利
2000年记帐式(四期)国债,140.0000,100.00,100.00,10,2.87,5.23,银行间,财政部,年付,荷兰式招标,浮动
2000年财政部记账式(五期)国债,200.0000,100.00,100.00,5,3,6.21,银行间,财政部,年付,荷兰式招标,固定
2000年财政部记账式(六期)国债,125.5000,100.00,100.00,7,3.5,8.17,银行间,财政部,年付,荷兰式招标,固定
2000年财政部记账式(七期)国债,200.0000,100.00,100.00,10,4.61,9.21,银行间,财政部,年付,荷兰式招标,浮动
2000年财政部记账式(八期)国债,102.0000,100.00,100.00,5,3.4,10.20,银行间,财政部,年付,荷兰式招标,固定
2000年财政部记账式(九期)国债,500.0000,100.00,100.00,10,3.9,10.31,银行间,财政部,年付,荷兰式招标,浮动
2000年记帐式(十期)国债,120.0000,100.00,100.00,7,2.9,11.14,银行间,财政部,年付,荷兰式招标,浮动
2000年记账式(十一)期国债,200.0000,100.00,100.00,1,2.35,11.24,银行间,财政部,一次还本息,荷兰式招标,固定单利
2000年财政部记账式(十二期)国债,252.0000,100.00,100.00,7,3.12,12.20,银行间,财政部,年付,荷兰式招标,浮动
2001年财政部记账式(一期)国债,200.0000,100.00,100.00,10,2.82,3.23,银行间,财政部,年付,荷兰式招标,浮动
2001年财政部记账式(二期)国债,200.0000,100.00,100.00,3,2.88,4.20,银行间,财政部,年付,荷兰式招标,固定
2001年记帐式(三期)国债,120.0000,100.00,100.00,7,3.27,4.24,银行间,财政部,年付,荷兰式招标,固定
2001年记账式（五期）国债,270.0000,100.00,98.66,7,3.71,6.22,银行间,财政部,年付,荷兰式招标,固定
2001年记帐式(七期)国债,240.0000,100.00,100.00,20,4.26,7.31,银行间,财政部,半年付,荷兰式招标,固定
2001年财政部记账式(八期)国债,200.0000,100.00,100.00,2,2.46,8.6,银行间,财政部　,年付,荷兰式招标,固定
2001年财政部记账式(九期)国债,200.0000,100.00,100.00,10,4.66,8.31,银行间,财政部,年付,荷兰式招标,浮动
2001年记帐式(十一期)国债,160.0000,100.00,100.00,20,3.85,10.23,银行间,财政部,半年付,荷兰式招标,固定
2001年记帐式(十二期)国债,200.0000,100.00,100.00,10,3.05,10.30,银行间,财政部,年付,荷兰式招标,固定
2001年财政部记账式(十三期)国债,200.0000,100.00,100.00,5,2.86,11.27,银行间,财政部,年付,荷兰式招标,固定
2001年财政部记账式(十四期)国债,200.0000,100.00,100.00,7,2.90,12.10,银行间,财政部,年付,荷兰式招标,固定
2001年记帐式(十五期)国债,200.0000,100.00,100.00,7,3.00,12.18,银行间,财政部,年付,荷兰式招标,固定
2001年记帐式(十六期)国债,200.0000,100.00,100.00,5,3.36,7.13,银行间,财政部,年付,荷兰式招标,固定
2002年记账式(一期)国债,200.0000,100.00,100.00,10,2.70,3.18,银行间,财政部,年付,荷兰式招标,固定
2002年记账式(二期)国债,360.0000,100.00,100.00,5,2.22,4.10,银行间,财政部,年付,荷兰式招标,固定
2002年记帐式(三期)国债,200.0000,100.00,100.00,10,2.54,4.18,银行间,财政部,年付,荷兰式招标,固定
2002年记帐式(四期)国债,260.0000,100.00,100.00,2,1.90,5.10,银行间,财政部,年付,荷兰式招标,固定
2002年记帐式(五期)国债,260.0000,100.00,100.00,30,2.9,5.24,银行间,财政部,半年付,荷兰式招标,固定
2002年记帐式（六期）国债,460.0000,100.00,100.00,7,2,6.6,银行间,财政部,年付,,固定
2002年记帐式(七期)国债,260.0000,100.00,100.00,2,1.90,6.20,银行间,财政部,年付,荷兰式招标,固定
2002年记帐式(八期)国债,265.0000,100.00,98.13,1,0,7.12,银行间,财政部,贴现,荷兰式招标,贴现
2009年记账式贴现（九期）国债,200.0000,100.00,99.35,0.75,0,6.8,沪市,财政部,贴现,多种价格（混合式）招标,贴现
2002年记帐式(十期)国债,200.0000,100.00,100.00,7,2.39,8.16,银行间,财政部,年付,荷兰式招标,固定
2009年记账式贴现（十一期）国债,150.0000,100.00,99.58,0.5,0,6.22,沪市,财政部,贴现,美国式招标,贴现
2002年记帐式(十二期)国债,191.0000,100.00,100.00,3,2.30,9.18,银行间,财政部,年付,荷兰式招标,固定
2002年记账式(十三期)国债,240.0000,100.00,100.00,15,2.6,9.20,银行间,财政部,半年付,荷兰式招标,固定
2002年记账式(十四期)国债,224.0000,100.00,100.00,5,2.65,10.24,银行间,财政部,年付,荷兰式招标,固定
2002年记帐式(十五期)国债,600.0000,100.00,100.00,7,2.93,12.6,银行间,财政部,年付,荷兰式招标,固定
2002年记账式(十六期)国债,368.1000,100.00,99.88,2,2.3,12.16,银行间,财政部,年付,荷兰式招标,固定
2003年记账式(一期)国债,700.0000,100.00,100.00,7,2.660,2.19,银行间,,年付,,固定
2003年记账式(二期)国债,260.0000,100.00,100.00,10,2.8,4.9,银行间,财政部,年付,荷兰式招标,固定
